Position,"Track Name",Artist,Streams,URL
109,"Bad and Boujee (feat. Lil Uzi Vert)",Migos,256802,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR
110,Lemon,N.E.R.D,254490,https://open.spotify.com/track/6tUgfsOa8PLkoede5nOR7D
111,"Bounce Back","Big Sean",254236,https://open.spotify.com/track/0SGkqnVQo9KPytSri1H6cF
112,"Too Much To Ask","Niall Horan",252759,https://open.spotify.com/track/4v094LQ9eF10k2O2Te2ngK
113,"Wild Thoughts","DJ Khaled",251265,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi
114,T-Shirt,Migos,248987,https://open.spotify.com/track/7KOlJ92bu51cltsD9KU5I7
115,"beibs in the trap","Travis Scott",247117,https://open.spotify.com/track/0ESJlaM8CE1jRWaNtwSNj8
116,"My Choppa Hate Niggas","21 Savage",246158,https://open.spotify.com/track/2D2w9943rsnJOGCrI4aMQp
117,Boss,"Lil Pump",244401,https://open.spotify.com/track/1rsAFUCa6BVMgRQ3FCQQsi
118,"Look At Me!",XXXTENTACION,243707,https://open.spotify.com/track/7floNISpH8VF4z4459Qo18
119,"That's What I Like","Bruno Mars",240952,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU
120,"No Role Modelz","J. Cole",239823,https://open.spotify.com/track/62vpWI1CHwFy7tMIcSStl8
121,Crew,GoldLink,238467,https://open.spotify.com/track/15EPc80XuFrb2LmOzGjuRg
122,Passionfruit,Drake,234590,https://open.spotify.com/track/7hDc8b7IXETo14hHIHdnhd
123,PRBLMS,6LACK,234082,https://open.spotify.com/track/3KH1kmD5mYQxyeHLoebQTF
124,"Stranger Things",Kygo,227521,https://open.spotify.com/track/5gIRPQWULwrvIt0F6pY7ph
125,"do re mi",blackbear,226960,https://open.spotify.com/track/3Q3myFA7q4Op95DOpHplaY
126,"X (feat. Future)","21 Savage",226488,https://open.spotify.com/track/6fwdbPMwP1zVStm8FybmkO
127,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,225869,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
128,Myself,NAV,224811,https://open.spotify.com/track/05nbZ1xxVNwUTcGwLbp7CN
129,"There's Nothing Holdin' Me Back","Shawn Mendes",224430,https://open.spotify.com/track/79cuOz3SPQTuFrp8WgftAu
130,"First Day Out","Tee Grizzley",222812,https://open.spotify.com/track/3muBQDekYAg7jm6hDu6R0Z
131,Swang,"Rae Sremmurd",219605,https://open.spotify.com/track/6mapJIPnQ23RTAevUoE0DL
132,"Undefeated (feat. 21 Savage)","A Boogie Wit da Hoodie",219224,https://open.spotify.com/track/2vaMWMPMgsWX4fwJiKmdWm
133,"4 AM","2 Chainz",218953,https://open.spotify.com/track/1nX9KhK3Fff27SnrIor2Yb
134,"No Option","Post Malone",218810,https://open.spotify.com/track/6M0IsaUX4GNyto4niSegfI
135,"Something Just Like This","The Chainsmokers",217363,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
136,"All I Want for Christmas Is You","Mariah Carey",217079,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
137,"Now Or Never",Halsey,216846,https://open.spotify.com/track/7i2DJ88J7jQ8K7zqFX2fW8
138,"When It Rains It Pours","Luke Combs",216569,https://open.spotify.com/track/1mMLMZYXkMueg65jRRWG1l
139,"In Case You Didn't Know","Brett Young",216263,https://open.spotify.com/track/10M2Ex445zw585Ducldzkw
140,"do re mi (feat. Gucci Mane)",blackbear,216141,https://open.spotify.com/track/53mrVsi49rLHIaKBiSvElG
141,Starboy,"The Weeknd",214770,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z
142,"What They Want",Russ,214221,https://open.spotify.com/track/3pndPhlQWjuSoXhcIIdBjv
143,"Money Longer","Lil Uzi Vert",212432,https://open.spotify.com/track/0B8QzDH7YWih85V5SEMnyJ
144,"Se Preparó",Ozuna,212235,https://open.spotify.com/track/1m69ELEgE6k5ZWsap40ozt
145,"Ex Calling",6LACK,212052,https://open.spotify.com/track/00DcwM45CMDjGChnoFRQ6y
146,Don't,"Bryson Tiller",211135,https://open.spotify.com/track/3pXF1nA74528Edde4of9CC
147,"Perplexing Pegasus","Rae Sremmurd",210410,https://open.spotify.com/track/2nYwV62UABTH0NanrwVIdQ
148,Exchange,"Bryson Tiller",208372,https://open.spotify.com/track/43PuMrRfbyyuz4QpZ3oAwN
149,Closer,"The Chainsmokers",208270,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
150,"The Plan",G-Eazy,208125,https://open.spotify.com/track/3hmrgEKcLEQi0rlk3mJfZ7
151,Caroline,Aminé,207771,https://open.spotify.com/track/5hTpBe8h35rJ67eAWHQsJx
152,Issues,"Julia Michaels",207226,https://open.spotify.com/track/6D0b04NJIKfEMg040WioJQ
153,"From The D To The A (feat. Lil Yachty)","Tee Grizzley",205595,https://open.spotify.com/track/2NyrXRn4tancYPW6JwtTl2
154,"Bedroom Floor","Liam Payne",205103,https://open.spotify.com/track/1pZdegOXTZ2ftINo3oUuRZ
155,"D Rose","Lil Pump",204079,https://open.spotify.com/track/1fEl5TPKRJAsuP6TqZ23hB
156,"Greatest Love Story",LANCO,203923,https://open.spotify.com/track/0kdiUZDcLIFw0Buo9r0Q4z
157,"Bust Down","Trippie Redd",203308,https://open.spotify.com/track/3vWxQ6wOfMr8zH1u7pVFI6
158,Burning,"Sam Smith",201591,https://open.spotify.com/track/2mb6YdoavL6db22p7XKJQZ
159,"'Till I Collapse",Eminem,201170,https://open.spotify.com/track/6yr8GiTHWvFfi4o6Q5ebdT
160,"Broccoli (feat. Lil Yachty)",DRAM,200987,https://open.spotify.com/track/7yyRTcZmCiyzzJlNzGC9Ol
161,"Fake Love",Drake,200898,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd
162,Portland,Drake,200810,https://open.spotify.com/track/2bjwRfXMk4uRgOD9IBYl9h
163,"Curve (feat. The Weeknd)","Gucci Mane",200430,https://open.spotify.com/track/2yuyaYAELoMG4ApV5wJsWR
164,"Both (feat. Drake)","Gucci Mane",200293,https://open.spotify.com/track/5tFep7dXGd7vEJ668wTPux
165,"Heartache On The Dance Floor","Jon Pardi",200131,https://open.spotify.com/track/0w3Q14i073jLoew1hgJkwD
166,Mayores,"Becky G",200118,https://open.spotify.com/track/7JNh1cfm0eXjqFVOzKLyau
167,"No Complaints","Metro Boomin",198067,https://open.spotify.com/track/6kig1UFggPUyZBCvXD3Wod
168,"Love Scars","Trippie Redd",197751,https://open.spotify.com/track/0AICBlLzFCTpUqmAbtzB2z
169,"Losing Sleep","Chris Young",197105,https://open.spotify.com/track/6waqLPcT6ruMhmd36OhmFO
170,"A Different Way (with Lauv)","DJ Snake",196628,https://open.spotify.com/track/0Wv5wuenRLI3BcwgT3HPIP
171,"Friends (with BloodPop®)","Justin Bieber",195969,https://open.spotify.com/track/7nZmah2llfvLDiUjm0kiyz
172,"Most Girls","Hailee Steinfeld",195896,https://open.spotify.com/track/2mfUa8bLs2s5N4VaqJZ4lZ
173,"Die For You","The Weeknd",195232,https://open.spotify.com/track/2LBqCSwhJGcFQeTHMVGwy3
174,"pick up the phone","Young Thug",194778,https://open.spotify.com/track/20dP2DaMHIAmwWAbp7peSr
175,"Dirty Sexy Money (feat. Charli XCX & French Montana)","David Guetta",194450,https://open.spotify.com/track/0tPQPaOKM32WgMSbPCYyRH
176,"Stay (with Alessia Cara)",Zedd,193587,https://open.spotify.com/track/0dA2Mk56wEzDgegdC6R17g
177,Saved,Khalid,192687,https://open.spotify.com/track/248OFOZef6ShXv6DGgbnxU
178,Vuelve,"Daddy Yankee",191749,https://open.spotify.com/track/0lJCqIx5BhZtf6QtYI2fbv
179,"No Smoke","YoungBoy Never Broke Again",191642,https://open.spotify.com/track/57IRaiAB4hBZu3gnNVZC0v
180,"Everyday We Lit (feat. PnB Rock)","YFN Lucci",191236,https://open.spotify.com/track/4PzovBqgnSHKd8opsP7IVM
181,"Horses (with PnB Rock, Kodak Black & A Boogie Wit da Hoodie)","PnB Rock",189824,https://open.spotify.com/track/5de7ci7TFqbQ1PFgKAD7MR
182,"One Last Song","Sam Smith",189384,https://open.spotify.com/track/01uk7IzZyFNfQTDBXxx6NB
183,"One Dance",Drake,189183,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3
184,Letterman,"Wiz Khalifa",188954,https://open.spotify.com/track/4EsYkJjHKMejYLp54woB9c
185,"No Problem (feat. Lil Wayne & 2 Chainz)","Chance The Rapper",188636,https://open.spotify.com/track/0v9Wz8o0BT8DU38R4ddjeH
186,"Flex Like Ouu","Lil Pump",188521,https://open.spotify.com/track/2hJWZvTw4QVBwC14ZNs1Ib
187,"Rockin' Around The Christmas Tree - Single Version","Brenda Lee",187607,https://open.spotify.com/track/3T7dNA7O8c3Axj5WyDNcH3
188,"Craving You","Thomas Rhett",187144,https://open.spotify.com/track/2d48mamATjby7wgPjdrSOQ
189,"Reggaetón Lento (Remix) [CNCO & Little Mix]",CNCO,187073,https://open.spotify.com/track/3zoYkqS4y2BsGVShPL2nTE
190,"Say A'","A Boogie Wit da Hoodie",186862,https://open.spotify.com/track/3AMnOVxEHUgVrythGgqPhI
191,8TEEN,Khalid,186500,https://open.spotify.com/track/5bgwqaRSS3M8WHWruHgSL5
192,"Havana - Remix","Camila Cabello",185798,https://open.spotify.com/track/3whrwq4DtvucphBPUogRuJ
193,"Man's Not Hot","Big Shaq",185606,https://open.spotify.com/track/2nUJvBO87SkxCViQsLc9Zr
194,"Small Town Boy","Dustin Lynch",185167,https://open.spotify.com/track/2YMhrXQYKkm4kXLcXKKd5z
195,Sensualidad,"Bad Bunny",184646,https://open.spotify.com/track/5hcisvFMidkMJlElTO9Qmw
196,"No Promises (feat. Demi Lovato)","Cheat Codes",184618,https://open.spotify.com/track/1louJpMmzEicAn7lzDalPW
197,"Say It First","Sam Smith",183481,https://open.spotify.com/track/4K1vOdIFqskQv3zoI0FdAk
198,"Escápate Conmigo",Wisin,182869,https://open.spotify.com/track/2cnKEkpVUSV4wnjQiTWfH6
199,"Felices los 4",Maluma,182326,https://open.spotify.com/track/0qYTZCo5Bwh1nsUFGZP3zn
200,"Darkside (with Ty Dolla $ign & Future) [feat. Kiiara]","Ty Dolla $ign",182017,https://open.spotify.com/track/14EgW52HVqnLHd30bgbPxg
